"street_name","accident_street","total_accident","percent_accident_street"
"Belt Parkway","3728","238421","1.56"
"Broadway","2794","238421","1.17"
"Atlantic Avenue","2230","238421","0.94"
"Brooklyn Queens Expressway","2159","238421","0.91"
"Long Island Expressway","2165","238421","0.91"
"Fdr Drive","1899","238421","0.80"
"3 Avenue","1732","238421","0.73"
"Grand Central Pkwy","1639","238421","0.69"
"Major Deegan Expressway","1566","238421","0.66"
"Cross Island Parkway","1579","238421","0.66"
"Flatbush Avenue","1543","238421","0.65"
"Linden Boulevard","1526","238421","0.64"
"Cross Bronx Expy","1304","238421","0.55"
"Bruckner Boulevard","1286","238421","0.54"
"Northern Boulevard","1261","238421","0.53"
"Van Wyck Expwy","1226","238421","0.51"
"2 Avenue","1053","238421","0.44"
"Jamaica Avenue","1034","238421","0.43"
"Henry Hudson Parkway","1001","238421","0.42"
"Nostrand Avenue","973","238421","0.41"
"Staten Island Expressway","970","238421","0.41"
"5 Avenue","971","238421","0.41"
"Bedford Avenue","925","238421","0.39"
"Bruckner Expressway","929","238421","0.39"
"Eastern Parkway","906","238421","0.38"
"Fulton Street","902","238421","0.38"
"Queens Boulevard","886","238421","0.37"
"Utica Avenue","849","238421","0.36"
"East Tremont Avenue","830","238421","0.35"
"Webster Avenue","842","238421","0.35"
"Myrtle Avenue","829","238421","0.35"
"8 Avenue","844","238421","0.35"
"Park Avenue","806","238421","0.34"
"7 Avenue","802","238421","0.34"
"Pennsylvania Avenue","820","238421","0.34"
"Bushwick Avenue","789","238421","0.33"
"Bronx River Parkway","771","238421","0.32"
"Metropolitan Avenue","766","238421","0.32"
"Hylan Boulevard","767","238421","0.32"
"Boston Road","756","238421","0.32"
"Liberty Avenue","767","238421","0.32"
"Hillside Avenue","748","238421","0.31"
"White Plains Road","741","238421","0.31"
"Jerome Avenue","740","238421","0.31"
"Kings Highway","732","238421","0.31"
"Amsterdam Avenue","707","238421","0.30"
"Westchester Avenue","714","238421","0.30"
"Rockaway Boulevard","722","238421","0.30"
"4 Avenue","704","238421","0.30"
"Ocean Parkway","720","238421","0.30"
"1 Avenue","697","238421","0.29"
"Triborough Bridge","658","238421","0.28"
"Roosevelt Avenue","618","238421","0.26"
"Verrazano Bridge Upper","623","238421","0.26"
"Flushing Avenue","625","238421","0.26"
"Grand Concourse","620","238421","0.26"
"Richmond Avenue","592","238421","0.25"
"Jackie Robinson Pkwy","589","238421","0.25"
"East Gun Hill Road","565","238421","0.24"
"Hutchinson River Parkway","567","238421","0.24"
"North Conduit Avenue","581","238421","0.24"
"Church Avenue","522","238421","0.22"
"Pitkin Avenue","515","238421","0.22"
"South Conduit Avenue","517","238421","0.22"
"Vanwyck Expressway","527","238421","0.22"
"Ralph Avenue","529","238421","0.22"
"Ocean Avenue","522","238421","0.22"
"Lexington Avenue","513","238421","0.22"
"Rockaway Parkway","510","238421","0.21"
"Grand Central Parkway","496","238421","0.21"
"Forest Avenue","496","238421","0.21"
"Merrick Boulevard","505","238421","0.21"
"Southern Boulevard","501","238421","0.21"
"Sutter Avenue","511","238421","0.21"
"Flatlands Avenue","487","238421","0.20"
"Woodhaven Boulevard","481","238421","0.20"
"Coney Island Avenue","484","238421","0.20"
"Whitestone Expressway","461","238421","0.19"
"East Fordham Road","447","238421","0.19"
"Horace Harding Expressway","450","238421","0.19"
"Harlem River Drive","443","238421","0.19"
"Francis Lewis Boulevard","446","238421","0.19"
"86 Street","461","238421","0.19"
"Grand Street","420","238421","0.18"
"65 Street","432","238421","0.18"
"Astoria Boulevard","426","238421","0.18"
"Saint Nicholas Avenue","424","238421","0.18"
"East 149 Street","412","238421","0.17"
"Beach Channel Drive","402","238421","0.17"
"Avenue Of The Americas","417","238421","0.17"
"Washington Avenue","411","238421","0.17"
"Rockaway Avenue","394","238421","0.17"
"10 Avenue","401","238421","0.17"
"Canal Street","397","238421","0.17"
"Bronx Whitestone Bridge","400","238421","0.17"
"Union Turnpike","417","238421","0.17"
"University Avenue","372","238421","0.16"
"Gowanus Expy (Bqe)","377","238421","0.16"
"9 Avenue","380","238421","0.16"
"Springfield Boulevard","388","238421","0.16"
"Rogers Avenue","372","238421","0.16"
"College Point Boulevard","372","238421","0.16"
"Victory Boulevard","391","238421","0.16"
"Lafayette Avenue","390","238421","0.16"
"Madison Avenue","392","238421","0.16"
"East 138 Street","358","238421","0.15"
"Parsons Boulevard","354","238421","0.15"
"Main Street","361","238421","0.15"
"Cross Bronx Expressway","359","238421","0.15"
"West 125 Street","353","238421","0.15"
"West Fordham Road","369","238421","0.15"
NULL,"363","238421","0.15"
"West Street","341","238421","0.14"
"Remsen Avenue","329","238421","0.14"
"Shore Parkway","335","238421","0.14"
"108 Street","327","238421","0.14"
"Morris Avenue","336","238421","0.14"
"21 Street","328","238421","0.14"
"New York Avenue","323","238421","0.14"
"Throgs Neck Bridge","335","238421","0.14"
"De Kalb Avenue","335","238421","0.14"
"Cross Bay Boulevard","343","238421","0.14"
"East 233 Street","345","238421","0.14"
"Farmers Boulevard","335","238421","0.14"
"Riverside Drive","333","238421","0.14"
"Bay Parkway","329","238421","0.14"
"Clearview Expressway","329","238421","0.14"
"Foster Avenue","318","238421","0.13"
"11 Avenue","300","238421","0.13"
"Junction Boulevard","312","238421","0.13"
"12 Avenue","313","238421","0.13"
"Avenue U","308","238421","0.13"
"Union Street","309","238421","0.13"
"37 Avenue","301","238421","0.13"
"Delancey Street","318","238421","0.13"
"20 Avenue","281","238421","0.12"
"Grand Avenue","292","238421","0.12"
"60 Street","279","238421","0.12"
"Gates Avenue","294","238421","0.12"
"35 Avenue","275","238421","0.12"
"Neptune Avenue","279","238421","0.12"
"150 Street","277","238421","0.12"
